# dictionary from http://www.esperanto-panorama.net/vortaro/eoen.htm
# Rimarkoj al: XGodivier"@"esperanto.org. (sen " ")
# Link to this page: Por fari ligon al tiu TTT-ejo:
# http://purl.org/net/panorama/vortaro/eoen.htm (unicode)
# http://purl.org/net/panorama/vortaro/xeoen.htm (x) 
        abako                          abacus
        lui                            hire
        luigi                          let, rent out
        luigita                        hired out
        luita domo                     hired house, rented house
        luko                           porthole, skylight
        lukontrakto                    lease
        luksa                          deluxe, de luxe, luxurious
        luksaĵo                        luxury
        lukseco                        luxury
        luksemburgano                  Luxembourger, Luxemburger
        luksemburgia                   Luxembourg, Luxemburg
        luksemburgiano                 Luxembourger, Luxemburger
        Luksemburgio                   Luxembourg, Luxemburg
        Luksemburgo                    Luxembourg, Luxemburg
        lukso                          luxury
        Luksoro                        Luxor
        lukti                          struggle, wrestle
        luli                           lull, rock
        lulilo                         cradle
        lulkanto                       lullaby
        luma                           bright, light
        lumbo                          loin
        lumbriko                       earthworm
        lumĝeni                        dazzle
        lumi                           shine
        lumigi                         illuminate, light
        lumigo                         lighting
        lumo                           light
        lumŝirmilo                     lamp-shade
        lumtubo                        fluorescent lamp
        lumturo                        lighthouse
        luna                           lunar
        lunĉo                          lunch, snack
        lundo                          Monday
        luno-                          lunar, moon-
        lupago                         rent
        lupeo                          magnifying glass
        lupino                         lupine, she-wolf
        lupino[1]                      she-wolf
        lupino[2]                      lupine
        lupo                           wolf
        lupolo                         hop, hops
        luprezo                        rent, rent money
        lustro                         chandelier
        lutaĵo                         solder
        luti                           solder
        macedona                       Macedonian
        maco                           matzo, unleavened bread
        maĉgumo                        chewing gum, chewing-gum
        maĉi                           chew
        madagaskara                    Madagascan
        Madagaskaro                    Madagascar
        Madejro                        Madeira
        madjaro                        Magyar
        Madono                         Madonna
        Madrido                        Madrid
        magazeno                       department store, warehouse
        magazino                       magazine
        Magdalenio                     Magdalenian
        Magdaleno                      Magdalena
        magia                          magical
        magio                          magic
        magistrata domo                town-hall
        magistro                       master
        magneta                        magnetic
        magnetigi                      magnetize
        magnetismo                     magnetism
        magneto                        magnet
        magnetofono                    tape recorder, tape-recorder
        magnetoskopo                   video recorder, video-recorder
        magnezio                       magnesium
        Magogo                         Magog
        magra                          gaunt, lean, meager, skimpy, skinny, thin
        mahometano                     Mohammedan, Moslem, Muslim, Mussulman
        Mahometo                       Mohammed, Muhammad
        maĥo                           mach
        maizo                          corn, Indian corn, maize, mealies
        majao                          Maya
        majesta                        majestic
        majesteco                      majesty
        majesto                        majesty
        majo                           May
        majorano                       majoram
        majoritato                     majority
        Majorko                        Majorca, Mallorca
        majoro                         major
        majskarabo                     june bug
        majstro                        maestro, master
        majusklo                       capital letter
        Makabeoj                       Maccabees
        makabra                        macabre
        Makao                          Macau
        makaronio                      macaroni
        Makaŭo                         Macao
        makedona                       Macedonian
        Makedonio                      Macedonia
        makedono                       Macedonian
        Makedonujo                     Macedonia
        Makiavelo                      Machiavelli
        makleraĵo                      brokerage, commission
        makleri                        act as a middleman
        makleristo                     broker
        maklero                        broker
        Makmuro                        MacMurray
        makropo                        kangaroo
        maksimuma                      maximum
        maksimume                      at most
        maksimumo                      maximum
        makuleto                       spot
        makuli                         soil, spot, stain
        makulo                         blot, spot
        makzelo                        jaw, jawbone
        mala                           contrary, opposite
        malabunda                      in short supply
        malafabla                      brutal, gruff, harsh, rough, sour, surly, unkind, unpleasant
        malafablega                    grim
        Malagasio                      Madagascar
        malagrabla                     bleak, dismal, dreary, horrible, ghastly, grisly, nasty
        malagrabla laboreto            bad job
        malaja                         Malay
        Malajgo                        Mallaig
        malajo                         Malay
        Malajujo                       Malaysia
        malajzia                       Malaysian
        malajziano                     Malaysian
        Malajzio                       Malaysia
        malakcepti                     reject
        malakcepti voĉdone             reject
        malakcepto                     rejection
        Malako                         Malacca
        malakra                        blunt
        malakrigi                      blunt
        malalta                        low
        malalta lernejo                grammar school, primary school
        malaltega prezo                distress prize, rock-bottom prize
        malaltgermana                  Low German
        malaltigi                      abase, decrease, lower
        malaltigi la prezojn de        mark down
        malaltigo                      abasement
        malaltreliefo                  bas-relief, low relief
        malaltvalora                   inferior
        malami                         hate
        malamika                       hostile
        malamikeco                     enmity
        malamiko                       enemy
        malaminda                      nasty
        malamo                         hate
        malantaŭ                       behind, after
        malantaŭa akso                 back axle, hind axle, rear axle
        malantaŭa benko                back seat, rear seat
        malantaŭa flanko               back, reverse, reverse side
        malantaŭa glaco                rear window
        malantaŭa lampo                rear-lamp, rear-light, tail-light
        malantaŭa parto                back, rear
        malantaŭa platformo            rear platform
        malantaŭa pordo                back-door
        malantaŭa rado                 back wheel, hind wheel, rear wheel
        malantaŭe                      behind
        malantaŭen                     aback, backwards
        malantaŭplano                  background
        malaperi                       disappear
        malaperigi                     liquidate
        malapero                       disappearance
        malaprobegi                    do down, slash, slate
        malaprobi                      condemn, disapprove, disapprove of, rebuke
        malaprobinda                   blameworthy, censurable, condemnable, objectionable
        malaprobo                      censure, condemnation, disapprobation, disapproval
        malario                        malaria
        malatenti                      neglect
        malavantaĝa                    detrimental, disadvantageous, prejudicial
        malavantaĝe                    detrimentally, disadvantageously, prejudicially
        malavantaĝo                    disadvantage
        malavara                       generous
        malavia                        Malawian
        malaviano                      Malawian
        Malavilago                     Lake Malawi
        Malavio                        Malawi, Nyasaland
        malbela                        nasty, ugly
        malbelega                      dismal, dreary, horrible, nasty
        malbeni                        curse
        malbobenado                    unrolling, unwinding
        malbobeni                      unroll, unwind, wind off
        malbona                        bad, miserable, nasty, poor
        malbona traktado               abuse
        malbonaĵo                      abuse
        malbone                        badly
        malbonfaro                     outrage
        malbonfartanta                 not well, unwell
        malbonhumora                   cross, peevish, pettish, petulant
        malbonigi                      spoil
        malboniĝi                      go bad
        malboniĝo                      corruption, decay, depravation, taint
        malbonkvalita                  inferior
        malbonŝance                    unfortunately
        malbonŝanco                    bad luck
        malcedi                        confront
        malĉasta                       lewd
        malĉaste                       lewdly
        malĉastulino                   slut, trollop
        maldekstra                     left
        maldekstra flanko              left, left side
        maldekstre                     on the left
        maldekstren                    left, to the left
        maldelikata                    coarse, crude, harsh
        maldetala                      general, vague
        maldika                        gaunt, lean, slender, thin
        maldiligenta                   lazy
        maldiligenteco                 laziness
        maldiskreta                    meddlesome
        maldiskreteco                  meddlesomeness
        maldolĉa                       bitter
        maldolĉeco                     bitterness
        maldorma                       awake
        maldunga aranĝo                redundancy pay, redundancy scheme, severance scheme
        maldungi                       discharge, dismiss, fire, sack
        maldungo                       discharge, paying off
        male                           on the contrary
        malebena                       bumpy
        malebenaĵo                     bump
        malebligi                      bar, inhibit, prevent
        malebria                       sober
        malediva                       Maldivian
        maledivano                     Maldivian
        Maledivoj                      Maldive Islands, Maldives
        malegala                       different
        maleleganta                    coarse, crude
        malembarasi                    rid
        maleolo                        ankle
        malespera                      desperate
        malespere                      despairingly
        malesperi                      despair
        malespero                      despair
        malestimeco                    abjection
        malestimi                      despise
        malestiminda                   abject
        malestimo                      contempt
        malfacila                      difficult, hard, inconvenient
        malfacilaĵo                    difficulty, trouble
        malfacile                      hardly, not easily, with difficulty
        malfaciligi                    hamper, hinder, thwart
        malfaldi                       spread out
        malfekunda                     barren, infertile
        malfeliĉa                      unhappy
        malfeliĉe                      unfortunately
        malfeliĉiga                    miserable
        malfeliĉulo                    unfortunate
        malfermegi la buŝon            open one's mouth wide
        malfermetita                   ajar
        malfermi                       open, open up
        malfermiĝi svinge              swing open
        malfermita                     open
        malfermo                       opening
        malfida                        suspicious
        malfidela                      unfaithful
        malfideliĝi                    apostatize, desert, secede
        malfideliĝo                    apostasy, defection
        malfidelulo                    deserter, renegade
        malfidema                      suspicious
        malfido                        suspicion
        malfieriĝi                     back down, climb down
        malflua                        ebb
        malfluo                        ebb, low tide
        malfluso                       low tide
        malforta                       faint, light, weak
        malforte                       lightly, weakly
        malfortigi                     weaken
        malfortiĝi                     abate, weaken
        malfreŝa                       stale
        malfreŝaera                    close, frowsty, stuffy
        malfrua                        late, tardy
        malfrue                        late
        malfrui                        be late
        malfruiĝo                      delay, retardation
        malfrumatene                   late in the morning
        malfrunokte                    late at night
        malfruposttagmeze              late in the afternoon
        malfunkciigi                   shut off, stop, switch off, turn off
        malfunkciiĝi                   go on the blink, malfunction
        malgaja                        bleak, dismal, dreary, gaunt, miserable, sad, somber
        malgajeco                      grief, sadness, sorrow
        malglata                       coarse, rough
        malgracia                      awkward
        malgranda                      diminutive, little, small
        Malgranda Azio                 Asia Minor
        Malgrandaj Antiloj             Lesser Antilles
        malgrandanimeco                pettiness, small-mindedness
        malgrandega                    tiny
        malgrandiĝi                    decrease, decline, wane
        malgrasa                       gaunt, thin
        malgraŭ                        despite, in spite of, notwithstanding
        malgraŭ tio                    nevertheless
        malĝentila                     rude
        malĝentilega                   as bold as brass, incredibly insolent, shameless
        malĝoja                        dismal, gaunt, miserable, sad
        malĝoje                        sadly
        malĝoji                        be grieved, be sad, be sorrowful
        malĝojiga                      dismal, miserable
        malĝojigi                      afflict, cause pain, cause pain to, distress, give pain to
        malĝojo                        sadness, sorrow
        malĝusta                       incorrect, wrong
        malhavi                        lack
        malhela                        bleak, dark, dismal, dreary
        malhelblua                     dark blue
        malhele blua                   dark blue
        malheliĝi                      darken
        malhelpaĵo                     handicap, impediment, obstacle
        malhelpi                       bar, hinder, inhibit, prevent
        malhelpo                       hindrance
        malhisi                        lower
        malhonesta                     nasty
        malia                          Malian
        malianino                      Malian woman
        malica                         malicious, mischievous, nasty, vicious
        malice ruza                    shrewd
        malico                         craft, craftiness, cunning, guile
        maligna                        vicious
        malinhibicio                   abandon
        malinklina                     averse
        malinteligenta                 obtuse
        Malio                          Mali
        maljuna                        old
        maljunula hejmo                old people's home
        maljunulejo                    old people's home
        maljunulino                    gammer, old woman
        maljunulo                      old man
        malkara                        cheap, inexpensive
        malkare                        cheaply
        malkaŝa                        above-board
        malkaŝe                        frankly, openly
        malkaŝi                        reveal
        malklara                       indistinct
        malklariĝi                     blur, fade
        malkomforto                    discomfort
        malkompakta                    loose, sandy
        malkoncentri                   disperse, dilute, rarefy, thin
        malkonekti                     cut, cut a connection
        malkonsili                     advise against, dissuade from
        malkonstruado                  demolition
        malkonstrui                    break down, demolish, pull down, take down
        malkonstruigebla               destructible
        malkonstruo                    demolition
        malkonvena                     not fitting, unseemly
        malkovri                       discover, uncover
        malkovro                       discovery
        malkreski                      abate, decrease, diminish
        malkresko                      abatement, decrease, diminution, wane
        malkupli                       uncouple
        malkuraĝa                      afraid
        malkuraĝeco                    cowardice
        malkuraĝiĝi                    be discouraged
        malkuraĝo                      cowardice
        malkuraĝulo                    coward, funk
        mallaborema                    slothful
        mallaksa                       constipated
        mallaksigilo                   adstringent
        mallakso                       constipation
        mallarĝa                       narrow
        mallaŭdi                       reproach, rebuke, reprove, scold
        mallaŭdo                       observation, remark, reproof
        mallerni                       unlearn
        mallerta                       awkward
        mallevi                        lower
        malleviĝi                      descend, go down
        malliberejo                    jail, gaol, prison
        malliberigi                    imprison, jail
        malliberulejo                  jail, gaol, prison
        malliberulo                    prisoner
        malligi                        untie
        malloga                        repellent, repelling, repulsive
        mallonga                       brief, short
        mallongan tempon               a while, momentarily
        mallongdaŭra                   short-lived
        mallongigaĵo                   abbreviation, abridgement
        mallongigi                     abbreviate, abridge, shorten
        mallongigo                     abbreviation
        malluma                        dark, dim
        mallumo                        darkness, murk
        malmasiva                      hollow
        malmendi                       cancel, countermand
        malmilda                       bleak
        malmobiliziĝi                  be released, demob
        malmodesta                     arrogant
        malmodesteco                   arrogance, assumingness, high-handedness, presumption, pretence
        malmola                        hard
        malmoleco                      hardness
        malmorala                      abandoned, nasty
        malmorale                      abandonedly
        malmulta                       little
        malmultaj                      few
        malmulte da                    little
        malmultekosta                  cheap, inexpensive
        malmultekoste                  cheaply
        malmunti                       take apart
        malnaiva                       sophisticated
        malneto                        draft, rough draft
        malnobla                       abject, base, low, nasty, vile
        malnobleco                     abjection
        malnova                        old
        malobea                        disobedient, insubordinate
        malobeema                      disobedient, insubordinate
        malofta                        rare
        malofte                        seldom
        malordo                        confusion, disorder
        malpaci                        quarrel
        malpaciĝi                      get in a quarrel
        malpaco                        quarrel
        malpaki                        unpack
        malpara                        odd
        malpermanenta                  temporary
        malpermesi                     forbid, prohibit
        malpermesita elirtempo         curfew
        malpeza                        light
        malplaĉa                       nasty
        malplej                        fewest, least
        malplena                       empty, void
        malpleneco                     emptiness
        malplenigi                     empty
        malpli                         fewer, less
        malpli kaj malpli              less and less
        malplialtigi                   decrease, lower
        malplialtiĝi                   go down
        malpliboniĝi                   decline, go back, fall off
        malplifortiĝi                  abate, settle
        malpliigebla                   abatable
        malpliigi                      abate, abridge, decrease, lessen
        malpliigo                      curtailment, retrenchment
        malpliigo de laborhoroj        reduced hours, shortening of working hours
        malpliiĝi                      abate, decrease, diminish, drop, fall
        malpliiĝo                      abatement
        malplilongigi                  abbreviate, abridge, curtail, shorten
        malplipeziĝi                   fall away, lose, lose flesh, lose in weight
        malplivarmigi                  cool, cool down
        malplivarmiĝi                  get cold
        malplivarmiĝo                  cooling
        malpolurita                    frosted
        malprava                       wrong
        malpravi                       be wrong
        malpreferi                     subordinate
        malprefero                     neglect, slighting
        malprofito                     loss
        malprofunda                    shallow, superficial
        malprogresi                    decline, recede
        malproksima                    distant, far, remote
        Malproksima Oriento            Far East
        malproksime                    far away, remotely
        malproksimeco                  distance
        malproksimiĝi                  blow over
        malpropra                      another man's, other people's
        malprosperi                    decline, recede
        malprospero                    decay
        malprotesto                    acquiescence, resignation, submission
        malpura                        dirty, filthy, nasty, soiled, unclean
        malpureco                      dirtiness, untidiness
        malpurega                      nasty
        malpurigi                      soil
        malrapida                      slow
        malrapide                      leasurely, slowly
        malrapidtrajno                 slow train
        malrapidvagonaro               slow train
        malrespektigi                  abase
        malrespektigi sin              abase oneself
        malrespektigo                  abasement
        malriĉa                        miserable, poor
        malriĉeco                      poverty
        malriĉulejo                    almshouse, almonry, workhouse
        malriĉulo                      pauper, poor man
        malriĉulprizorgado             almonership
        malriĉulprizorgisto            almoner
        malrigi                        dismantle, unrig
        malsaĝa                        foolish
        malsaĝulo                      fool
        malsama                        different
        malsamkreda                    dissenting
        malsana                        ill, sick
        malsanejo                      hospital
        malsaneta                      not well, upset
        malsani                        be ailing
        malsaniĝi                      be taken ill, fall ill
        malsano                        disease, illness
        malsanulejo                    hospital
        malsanulo                      patient
        malsata                        hungry
        malsatego                      famine
        malsati                        be hungry
        malsato                        hunger
        malseka                        wet
        malseka sezono                 wet season
        malsekaĵo                      damp
        malsekeco                      damp
        malseketa                      moist
        malseketigi                    dampen
        malsekiĝi                      get wet
        malserena                      dismal, dreary
        malseriozaĵo                   old wives' tale
        malservi                       be detrimental to, detract from, do harm to
        malsimetria                    asymmetric, asymmetrical, dissymmetric
        malsimila                      different
        malsimpatia                    nasty
        malsimpatio                    antipathy
        malsimpla                      complex, complicated
        malsincera                     underhanded
        malsovaĝa                      tame
        malsovaĝigi                    tame
        malsprita                      dull, stupid
        malstreĉiĝi                    relax
        malstreĉo                      d@tante
        malsubstanca                   insubstantial, light
        malsukcesa                     abortive
        malsukcesego                   failure, flop
        malsukcesi                     abort, fail
        malsukcesi pro                 be foiled by, be frustrated by
        malsukcesigi                   abort, quash
        malsukceso                     abortion
        malsupera                      inferior
        malsupra flanko                bottom
        malsupra najbaro               neighbour on the lower storey
        malsupre                       below, downstairs, underneath
        malsupre de                    below, beneath, under
        malsupren                      down
        malsuprenirejo                 slope
        malsupreniri                   descend, get off, go down
        malsupreniro                   descent
        malsuprenpendi                 depend, hang down
        malsuprensalti                 jump off, leap down
        malŝalti                       shut off, stop, switch off, turn off
        malŝargi                       discharge, fire, fire off, let off
        malŝargiĝi                     go off
        malŝarĝi                       unload
        malŝlosi                       unlock
        malŝminki                      take off make-up
        malŝpari                       waste
        malŝparita                     spoiled, wasted
        malŝparo                       waste
        malta                          Maltese
        maltano                        Maltese
        malteni                        release
        maltimema                      daring
        Malto                          Malta
        maltrafi                       miss
        maltrankvila                   anxious
        maltrankvile                   anxiously
        maltrankviliga                 anxious, grave, serious
        maltrankviligi                 oppress
        malutila                       harmful
        malutile                       detrimentally, disadvantageously, prejudicially
        malutili                       harm
        malutilo                       harm
        malvarma                       bleak, chilly, cold
        malvarmeta                     cool
        malvarmeta sezono              cool season
        malvarmetiĝi                   cool, cool down
        malvarmo                       cold
        malvarmumo                     cold
        malvasta                       close, cramped
        malvastejo                     narrow space
        malvenko                       defeat
        malvera                        false, untrue
        malvirto                       vice
        malvolvado                     unwinding
        malvolvi                       unroll
        malzorga                       careless, neglectful, negligent, remiss
        malzorgeco                     carelessness, negligence, remissness
        mambesto                       mammal
        mamego                         udder
        mamnutri                       suckle
        mamo                           breast, teat
        Mamono                         Mammon
        mampinto                       nipple
        mamulo                         mammal
        mamzono                        bra
        manĉua                         Manchurian
        manĉuo                         Manchurian
        manĉura                        Manchurian
        Manĉurio                       Manchuria
        Manĉurujo                      Manchuria
        mandarino                      tangerine
        mandato                        mandate
        manfaritaĵo                    handiwork
        mangano                        manganese
        mango                          mango
        mangostano                     mangosteen
        mangujo                        mango tree, mango-tree
        manĝaĵo                        food
        manĝaĵoŝranko                  larder, pantry, store-cupboard
        manĝebla                       edible
        manĝejo                        dining-room
        manĝi                          eat, feed
        manĝigi                        feed
        manĝilara lavilo               detergent, washing-up liquid
        manĝilaro                      forks, knives and spoons
        manĝo                          meal
        manĝobastonetoj                chopsticks
        manĝoĉambro                    dining-room
        manĝokarto                     menu
        manĝoprovizejo                 pantry
        Manĝurio                       Manchuria
        maniero                        manner, mode, way
        manifestacii                   demonstrate
        manifestacio                   demonstration
        manifesti                      demonstrate, manifest, show
        manifesto                      manifest
        Manika Kolo                    Street of Dover
        Manikaj Insuloj                Channel Islands
        Maniko                         the Channel, the English Channel
        Manikuagano                    Manikuagan
        manikuri                       manicure
        Manilo                         Manila
        manioko                        cassave
        manipulado                     treatment
        manipuli                       handle, manipulate
        Manitobolago                   Lake Manitoba
        mankanta                       absent
        mankantlisto                   attendance register
        manke de                       in the absence of
        manki                          be lacking, be missing
        mankigi                        drop, omit
        manko                          absence, lack, shortage, shortcoming
        mano                           hand
        manovri                        maneuver, manoeuvre, manoeuvre
        manovro                        maneuver, manoeuvre, manoeuvre
        manpilkludo                    ball game
        manplata frapado               applause
        manplato                       palm
        manpremi                       shake hands
        manpremo                       handshake
        manradiko                      wrist
        mansaketo                      handbag, hand-bag
        mansako                        handbag, hand-bag
        mansardo                       attic, garret
        mansigni                       wave
        mantelo                        cloak, mantle
        manteni                        have got hold of
        mantuko                        towel
        manumo                         cuff
        manuskripto                    manuscript
        maora lingvo                   Maori, Maori language
        maoria lingvo                  Maori, Maori language
        maparo                         atlas
        mapo                           map
        mara                           maritime, sea, sea-, of the sea
        maraglo                        white-tailed eagle
        mararmeo                       navy
        marborda                       coast, coast-, coastal, of the coast
        marbordo                       coast, seaside, shore
        marbranĉo                      arm of the sea, estuary, firth
        marĉandi                       bargain, haggle
        marĉo                          marsh, swamp
        mardo                          Tuesday
        marfundo                       bottom of the sea, sea-bottom
        margarino                      margarine
        margarito                      daisy
        marĝeno                        margin
        Marianoj                       Mariana Islands
        mariĥuano                      marijuana
        marioneto                      marionette, puppet
        marista bluo                   navy blue
        mariste blua                   navy blue
        maristo                        sailor
        markezo                        penthouse, shed
        marki                          mark
        Markisoj                       Marquesas Islands
        marko[1]                       mark
        marko[2]                       mark
        markolo                        strait
        Markolo de Forto               Firth of Forth
        markoti                        layer
        markoto                        layer
        marmalsano                     seasickness
        marmelado                      jam, marmelade
        marmonstro                     sea-monster
        marmora                        marble
        marmoro                        marble
        maro                           sea
        maroka                         Moroccan
        marokanino                     Moroccan woman
        marokano                       Moroccan
        Maroko                         Morocco
        maronarbo                      chestnut-tree
        maronujo                       chestnut-tree
        marsano                        Martian
        Marso[1]                       Mars
        Marŝalinsuloj                  Marshall Islands
        marŝi                          march, walk
        marŝo                          walk
        martagono                      martagon lily
        martelado                      hammering
        marteli                        hammer
        martelo                        hammer
        martirino                      martyr, female martyr
        martiro                        martyr
        marto                          March
        masaĝi                         massage
        masaĝo                         massage
        masakri                        massacre
        masakro                        massacre
        masiva                         massive
        maskado                        masquerade
        maskerado                      masquerade
        maski                          mask
        maskla                         male
        masklo                         male
        masko                          mask
        maskobalo                      masked ball
        maso                           lump, mass
        masonaĵo                       masonry
        masoni                         build
        masonisto                      mason
        mastiko                        putty
        masto                          mast
        mastri                         be master over, dominate
        Mastriĥto                      Maestricht
        mastrino                       mistress
        mastro                         boss, master
        mastruma sistemo               operating system
        mastrumi                       keep house, manage
        mastrumistino                  housekeeper
        masturbi                       masturbate
        maŝinaro                       machinery
        maŝino                         engine, machine
        maŝo                           loop, mesh
        matĉo                          game, match
        matematika                     mathematical
        matematikisto                  mathematician
        matematiko                     mathematics
        matene                         in the morning
        matenhoro                      morning time
        matenkoncerto                  aubade
        matenmanĝo                     breakfast
        mateno                         morning
        matenruĝo                      red of dawn
        matenstelo                     morning star
        Materhorno                     Matterhorn
        materia                        material
        materialo                      data, material
        materiiĝi                      materialise, materialize
        materio                        matter
        mato                           mat
        matraco                        mattress
        matrico                        matrix
        matura                         mature, ripe
        maturiĝi                       ripen
        Maŭricio                       Mauritius
        Maŭrolando                     Mauritania
        Maŭrujo                        Mauritania
        mava                           bad
        meblaro                        furniture
        mebli                          furnish
        meblita                        furnished
        meblo                          piece of furniture
        mebloj                         furniture
        meĉo                           fuse, wick
        medalo                         medal
        mediacii                       mediate
        mediacio                       mediation
        medicina                       medical
        medicinaĵo                     drug, medicine, pharmaceutical
        medicino                       medicine, practice of medicine
        medikamento                    drug, medicine, pharmaceutical
        Medino                         Medina
        medio                          environment
        meditema                       thinking, thoughtful, meditative, pensive
        Mediteraneo                    Mediterranean
        mediti                         meditate, think to oneself
        Meduzo                         Medusa
        Mefisto                        Mephistopheles
        Mefistofelo                    Mephistopheles
        mefito                         skunk
        megera                         bitchy, shrewish
        megero                         shrew
        meĥanika                       mechanical
        meĥanikisto                    mechanic
        meĥaniko                       mechanics
        Meĥlino                        Malines, Mechlin
        mejlo                          mile
        mejloŝtono                     landmark, milepost, milestone
        mekanika                       mechanical
        mekanikisto                    mechanic
        mekaniko                       mechanics
        Mekko                          Mecca
        Mekongo                        Mekong
        meksikia                       Mexican
        Meksikia Golfo                 Gulf of Mexico
        meksikianino                   Mexican woman
        meksikiano                     Mexican
        Meksikio                       Mexico
        Meksiko                        Mexico City
        melanezia                      Melanesian
        melaneziano                    Melanesian
        Melanezio                      Melanesia
        melankolia                     bleak, dismal, dreary, gaunt, melancholy
        melankolio                     melancholy
        meleagro                       turkey
        melki                          milk
        melo                           badger
        melodia                        tuneful
        melodio                        melody, tune
        melodrama                      melodramatic
        melodramo                      melodrama
        melongeno                      aubergine
        melono                         melon
        mem                            self, herself, himself, itself
        membreco                       membership
        membriĝi                       accede
        membro                         limb, member
        memevidenta                    self-evident
        memfida                        confident, self-assured
        meminstruito                   autodidact, self-taught man
        memlerninto                    autodidact, self-taught man
        memoraĵo                       keepsake, memento, souvenir
        memori                         recall, recollect, remember
        memorigaĵo                     keepsake, memento, souvenir
        memorigi                       recall, remind
        memorinda                      memorable
        memoro                         memory, recollection
        memortago                      anniversary
        memserva vendejo               supermarket
        memstara                       independant
        memvola                        willing
        mencii                         mention
        mencii mallonge                touch lightly on, touch on
        mencio                         mention
        mendelevio                     mendelevium
        mendi                          book, order, reserve
        mendilo                        order-form
        mendo                          order
        mensa                          mental
        mensa postrestanteco           backwardness
        mense postrestanta             backward, mentally deficient, retarded
        menso                          mind
        mensogi                        lie, tell a lie
        mensogisto                     cheat, deceiver, imposter
        mensogo                        lie
        mento                          mint
        mentono                        chin
        menuo                          menu
        mergi                          immerse
        meriti                         be worthy of, deserve, merit
        merito                         merit
        merkato                        market, sales activity
        merkredo                       Wednesday
        Merkuro[1]                     Mercury
        Merkuro[2]                     Mercury
        merlo                          blackbird
        mesaĝo                         errand, message
        Mesino                         Messina
        meso                           mass
        metaforo                       metaphor
